Ride_ID,Date,City,Pickup_Area,Drop_Area,Distance_km,Ride_Time_min,Fare_INR,Driver_Rating,Rider_Rating,Payment_Mode,Ride_Status
R10027,2025-03-27,Pune,Begumpet,Hitech City,2.08,9,58.03,4.36,3.86,Cash,Cancelled
R10028,2025-06-18,Delhi,LB Nagar,Uppal,9.91,48,140.55,4.41,4.9,UPI,Completed
R10029,2025-03-15,Pune,Jubilee Hills,Secunderabad,7.74,40,128.41,4.52,4.14,UPI,Cancelled
R10030,2025-04-08,Delhi,LB Nagar,Uppal,10.13,50,195.58,4.85,4.81,UPI,Completed
R10031,2025-04-24,Delhi,Secunderabad,Gachibowli,8.54,42,172.54,4.82,4.92,UPI,Completed
R10032,2025-06-10,Delhi,Banjara Hills,Kukatpally,5.17,28,117.28,4.54,4.75,UPI,Completed
R10033,2025-03-25,Bangalore,Kukatpally,Uppal,8.86,45,198.78,4.21,4.08,Card,Cancelled
R10034,2025-01-23,Bangalore,Miyapur,LB Nagar,14.78,46,168.99,4.32,4.84,UPI,Cancelled
R10035,2025-06-10,Chennai,Ameerpet,Jubilee Hills,14.27,75,170.16,4.49,4.99,Card,Completed
R10036,2025-04-11,Hyderabad,Banjara Hills,Kukatpally,7.27,36,139.82,4.91,4.36,Card,Cancelled
R10037,2025-02-17,Chennai,Ameerpet,Banjara Hills,2.39,10,57.65,4.46,4.11,Cash,Completed
R10038,2025-02-25,Delhi,Ameerpet,Begumpet,3.94,19,102.06,4.34,4.72,Cash,Cancelled
R10039,2025-06-24,Chennai,Kondapur,Secunderabad,1.33,6,49.04,4.45,4.49,Cash,Completed
R10040,2025-06-20,Bangalore,LB Nagar,Banjara Hills,4.39,18,82.5,4.04,4.24,UPI,Completed
R10041,2025-01-29,Bangalore,Miyapur,Gachibowli,10.44,42,160.26,4.94,4.53,Cash,Cancelled
R10042,2025-01-03,Pune,Begumpet,Jubilee Hills,2.3,8,62.86,4.64,4.11,Card,Completed
R10043,2025-06-06,Pune,Miyapur,Secunderabad,12.22,39,204.88,4.17,4.67,Card,Completed
R10044,2025-03-03,Mumbai,Gachibowli,Secunderabad,12.38,51,231.41,4.95,4.46,UPI,Completed
R10045,2025-06-06,Delhi,Kondapur,Jubilee Hills,7.74,30,140.64,4.99,4.5,Cash,Completed
R10046,2025-05-17,Delhi,Secunderabad,Uppal,13.29,41,195.27,4.42,4.47,UPI,Completed
R10047,2025-04-23,Mumbai,Kukatpally,Mehdipatnam,10.81,45,139.93,4.37,4.16,Card,Completed
R10048,2025-06-07,Hyderabad,Uppal,Hitech City,5.05,22,79.2,4.74,4.21,Cash,Cancelled
R10049,2025-03-25,Hyderabad,Mehdipatnam,Somajiguda,4.95,27,107.99,4.24,4.91,Cash,Completed
R10050,2025-05-28,Pune,Somajiguda,Ameerpet,3.41,19,59.78,4.08,4.92,Cash,Completed
R10051,2025-02-06,Mumbai,Gachibowli,Ameerpet,14.85,79,237.11,4.7,3.93,Cash,Completed
R10052,2025-02-01,Chennai,Ameerpet,Kondapur,12.67,45,141.83,4.25,4.27,UPI,Completed
R10053,2025-05-19,Mumbai,Gachibowli,Banjara Hills,2.19,11,66.54,4.79,4.54,Cash,Completed
R10054,2025-02-20,Delhi,Secunderabad,Kondapur,13.08,53,145.39,3.98,4.92,UPI,Completed
R10055,2025-04-14,Chennai,Kukatpally,Kondapur,7.92,47,157.09,4.18,3.83,Cash,Completed
R10056,2025-06-23,Chennai,Mehdipatnam,LB Nagar,8.09,47,185.47,4.85,4.74,UPI,Cancelled
R10057,2025-05-14,Mumbai,Kukatpally,Madhapur,9.3,38,186.3,3.97,4.98,UPI,Cancelled
R10058,2025-01-03,Delhi,Miyapur,Begumpet,6.91,24,88.38,4.72,4.57,Cash,Cancelled
R10059,2025-02-10,Bangalore,Gachibowli,Somajiguda,2.1,9,47.9,4.51,4.52,Cash,Completed
R10060,2025-05-12,Chennai,Hitech City,Madhapur,8.1,41,119.09,4.85,4.93,UPI,Completed
R10061,2025-03-22,Bangalore,Jubilee Hills,Somajiguda,7.16,31,130.35,4.36,4.06,Cash,Completed
R10062,2025-05-05,Mumbai,Begumpet,Madhapur,5.12,17,113.26,4.15,4.91,Card,Completed
R10063,2025-02-28,Delhi,Jubilee Hills,Madhapur,12.61,65,206.32,4.97,4.68,Cash,Completed
R10064,2025-01-10,Bangalore,Gachibowli,Ameerpet,10.13,46,199.97,4.54,4.74,Cash,Completed
R10065,2025-06-16,Mumbai,Hitech City,Begumpet,6.99,35,132.78,4.45,4.61,UPI,Cancelled
R10066,2025-01-07,Bangalore,Banjara Hills,Gachibowli,7.65,26,118.05,4.21,4.84,Card,Cancelled
R10067,2025-06-15,Chennai,Mehdipatnam,Begumpet,11.88,38,179.46,4.31,4.03,UPI,Completed
R10068,2025-06-19,Hyderabad,Mehdipatnam,Banjara Hills,14.52,53,271.45,4.87,4.63,Cash,Cancelled
R10069,2025-06-28,Hyderabad,Hitech City,Kondapur,8.82,46,163.62,4.61,4.71,Cash,Completed
R10070,2025-03-21,Hyderabad,Kukatpally,Jubilee Hills,3.69,12,80.16,4.8,4.71,UPI,Completed
R10071,2025-06-30,Pune,Kukatpally,Uppal,9.44,49,194.66,4.63,5.0,UPI,Completed
R10072,2025-03-10,Delhi,Banjara Hills,Kukatpally,8.76,49,131.34,4.93,4.91,Cash,Completed
R10073,2025-06-10,Bangalore,Madhapur,Mehdipatnam,4.34,24,103.71,4.38,4.35,UPI,Completed
R10074,2025-05-10,Bangalore,Kondapur,Madhapur,14.82,65,228.27,4.5,4.91,Card,Cancelled
R10075,2025-02-16,Delhi,Miyapur,Somajiguda,5.37,25,113.4,3.91,4.0,Cash,Cancelled
R10076,2025-05-14,Pune,Kukatpally,Secunderabad,2.28,6,68.95,4.25,4.52,Card,Completed
R10077,2025-01-17,Pune,Somajiguda,Kondapur,2.83,13,64.75,4.27,4.58,Cash,Completed
R10078,2025-03-30,Delhi,Kondapur,Begumpet,11.72,35,254.95,4.31,4.55,Card,Completed
R10079,2025-06-22,Pune,Jubilee Hills,Miyapur,8.19,28,119.8,4.92,3.93,UPI,Cancelled
R10080,2025-05-08,Mumbai,LB Nagar,Jubilee Hills,4.88,27,87.82,4.47,4.07,Cash,Completed
R10081,2025-04-13,Bangalore,Uppal,Mehdipatnam,1.24,4,40.63,4.43,4.03,Card,Cancelled
R10082,2025-03-10,Hyderabad,Somajiguda,Kondapur,2.34,7,61.77,4.4,4.95,Card,Completed
R10083,2025-05-08,Bangalore,Ameerpet,Banjara Hills,1.76,8,50.26,4.95,4.66,Card,Cancelled
R10084,2025-01-11,Hyderabad,Jubilee Hills,Banjara Hills,12.7,71,212.95,4.59,4.58,UPI,Cancelled
R10085,2025-01-03,Delhi,Mehdipatnam,Miyapur,13.92,52,206.77,3.89,4.71,Cash,Completed
R10086,2025-01-03,Mumbai,Secunderabad,Jubilee Hills,12.13,42,240.63,4.55,4.48,Card,Completed
R10087,2025-02-23,Mumbai,Madhapur,Hitech City,13.33,72,186.82,4.09,4.48,Cash,Completed
R10088,2025-04-29,Mumbai,Hitech City,Mehdipatnam,2.14,9,50.35,4.32,4.83,Cash,Completed
R10089,2025-03-30,Hyderabad,Somajiguda,Hitech City,10.55,39,234.38,4.64,4.21,Cash,Cancelled
R10090,2025-04-19,Pune,Jubilee Hills,LB Nagar,2.56,14,63.32,3.98,4.25,Card,Cancelled
R10091,2025-01-16,Pune,Banjara Hills,Ameerpet,2.48,13,67.1,4.58,4.36,UPI,Completed
R10092,2025-06-30,Bangalore,Somajiguda,Madhapur,8.18,25,148.59,4.64,4.4,UPI,Completed
R10093,2025-06-30,Hyderabad,Gachibowli,Somajiguda,7.77,35,155.87,4.2,4.13,Cash,Completed
R10094,2025-06-09,Mumbai,Kondapur,Ameerpet,2.28,12,45.83,4.04,4.42,UPI,Cancelled
R10095,2025-03-25,Hyderabad,Mehdipatnam,Banjara Hills,5.34,26,99.66,4.5,4.62,Cash,Cancelled
R10096,2025-03-30,Bangalore,Begumpet,Gachibowli,14.26,64,301.8,4.47,5.0,UPI,Completed
R10097,2025-02-16,Mumbai,Somajiguda,Madhapur,14.84,83,212.17,4.55,4.7,Cash,Completed
R10098,2025-01-18,Bangalore,Hitech City,Somajiguda,7.39,43,164.87,4.85,4.05,UPI,Completed
R10099,2025-05-26,Chennai,Kondapur,Uppal,12.9,47,143.08,4.72,4.39,Card,Completed
R10100,2025-03-02,Hyderabad,Begumpet,Somajiguda,14.79,45,253.15,4.46,4.13,UPI,Completed
R10101,2025-04-19,Delhi,Kondapur,LB Nagar,8.1,37,126.76,3.88,3.9,Card,Completed
R10102,2025-05-24,Delhi,Hitech City,Kondapur,3.46,18,68.94,4.39,4.9,Cash,Completed
R10103,2025-06-20,Pune,Hitech City,Jubilee Hills,4.09,13,94.08,4.14,4.57,Card,Completed
R10104,2025-01-02,Chennai,Kondapur,LB Nagar,1.54,6,53.57,4.12,3.87,UPI,Cancelled
R10105,2025-02-08,Bangalore,LB Nagar,Secunderabad,9.96,36,219.46,4.32,4.92,Cash,Completed
R10106,2025-01-23,Delhi,Somajiguda,Ameerpet,8.98,44,140.49,4.33,4.86,UPI,Completed
R10107,2025-04-30,Chennai,Begumpet,Secunderabad,8.74,30,133.1,4.67,3.98,Cash,Completed
R10108,2025-05-06,Mumbai,Madhapur,Miyapur,10.9,64,180.1,4.77,4.74,Card,Cancelled
R10109,2025-01-19,Mumbai,Ameerpet,Miyapur,4.16,21,71.44,4.14,4.84,UPI,Completed
R10110,2025-04-04,Chennai,Gachibowli,Uppal,2.12,11,59.07,4.68,4.65,UPI,Completed
R10111,2025-01-08,Chennai,Kukatpally,Jubilee Hills,6.65,20,126.43,4.01,4.62,Card,Completed
R10112,2025-03-24,Delhi,Kondapur,Secunderabad,3.74,19,72.75,3.89,3.88,Card,Completed
R10113,2025-01-03,Pune,Kukatpally,Mehdipatnam,2.42,7,49.06,4.72,4.38,UPI,Completed
R10114,2025-01-29,Pune,Somajiguda,Ameerpet,1.99,7,57.42,4.29,4.87,Cash,Completed
R10115,2025-01-14,Pune,Madhapur,Mehdipatnam,12.01,59,238.55,3.94,4.12,UPI,Completed
R10116,2025-06-14,Chennai,Jubilee Hills,Miyapur,3.53,18,84.34,4.96,4.15,Card,Cancelled
R10117,2025-02-07,Pune,Jubilee Hills,Miyapur,4.57,24,108.35,4.38,3.82,Cash,Cancelled
R10118,2025-06-10,Hyderabad,Kukatpally,Jubilee Hills,5.31,21,119.18,4.37,4.41,Card,Completed
R10119,2025-04-12,Chennai,Begumpet,Somajiguda,5.79,26,138.33,4.5,4.15,UPI,Completed
R10120,2025-05-16,Delhi,Kondapur,Ameerpet,5.88,30,82.48,4.23,3.83,UPI,Completed
R10121,2025-03-28,Pune,Gachibowli,Kukatpally,9.01,43,112.52,4.51,3.91,Cash,Cancelled
R10122,2025-06-23,Pune,LB Nagar,Begumpet,8.61,34,184.98,4.72,4.06,UPI,Cancelled
R10123,2025-06-08,Chennai,Kondapur,Kukatpally,11.55,50,166.23,3.88,3.95,UPI,Completed
R10124,2025-03-16,Mumbai,Uppal,LB Nagar,6.37,22,139.33,4.17,4.38,Cash,Completed
R10125,2025-04-09,Delhi,Begumpet,Secunderabad,2.16,8,47.26,4.08,4.74,Cash,Completed
R10126,2025-05-04,Bangalore,Mehdipatnam,Uppal,1.65,8,52.25,4.37,4.59,Card,Cancelled
R10127,2025-05-29,Bangalore,Ameerpet,Kukatpally,5.64,22,88.14,4.87,4.81,Cash,Completed
R10128,2025-06-16,Delhi,Mehdipatnam,Madhapur,6.7,24,116.73,4.66,4.38,Cash,Completed
R10129,2025-03-27,Pune,Kondapur,Madhapur,9.01,33,157.11,4.28,3.85,Cash,Completed
R10130,2025-01-29,Hyderabad,Hitech City,Somajiguda,5.17,30,100.33,4.87,4.31,UPI,Completed
R10131,2025-06-28,Bangalore,Kukatpally,Jubilee Hills,7.2,29,160.25,4.22,4.24,UPI,Cancelled
R10132,2025-06-29,Mumbai,Miyapur,Jubilee Hills,11.46,55,240.22,4.11,3.86,Card,Completed
R10133,2025-02-10,Hyderabad,Banjara Hills,Ameerpet,8.86,27,116.6,4.16,4.33,UPI,Completed
R10134,2025-03-10,Chennai,Mehdipatnam,Kukatpally,6.6,37,123.91,4.83,4.51,UPI,Completed
R10135,2025-06-20,Pune,Uppal,Kondapur,10.12,34,121.76,4.45,3.87,Cash,Cancelled
R10136,2025-02-18,Hyderabad,Banjara Hills,LB Nagar,13.17,43,280.2,4.88,4.65,Card,Completed
R10137,2025-06-23,Hyderabad,Ameerpet,Kukatpally,2.21,7,54.55,4.62,4.65,Card,Completed
R10138,2025-06-24,Hyderabad,Mehdipatnam,Kukatpally,11.42,52,181.76,4.08,4.21,Cash,Completed
R10139,2025-02-23,Mumbai,Kukatpally,Hitech City,7.11,31,95.12,4.97,3.81,UPI,Completed
R10140,2025-04-29,Hyderabad,Somajiguda,Gachibowli,5.58,26,78.15,4.19,4.1,Card,Completed
R10141,2025-01-31,Pune,Jubilee Hills,Begumpet,1.26,6,42.67,4.71,4.6,UPI,Completed
R10142,2025-05-09,Pune,Jubilee Hills,Uppal,11.88,44,157.66,4.96,4.71,Cash,Completed
R10143,2025-01-20,Pune,Begumpet,Madhapur,8.97,41,120.18,4.79,4.58,Card,Completed
R10144,2025-06-10,Hyderabad,Miyapur,Ameerpet,12.41,64,195.46,4.51,3.91,UPI,Completed
R10145,2025-03-13,Mumbai,Kondapur,Begumpet,7.66,31,169.44,4.18,4.8,UPI,Completed
R10146,2025-04-12,Hyderabad,Madhapur,Begumpet,7.53,34,138.05,3.85,4.69,Card,Completed
R10147,2025-01-03,Bangalore,Madhapur,Gachibowli,1.52,5,43.18,4.11,4.67,Card,Completed
R10148,2025-04-09,Chennai,Jubilee Hills,Gachibowli,4.24,21,99.88,3.89,4.96,UPI,Completed
R10149,2025-03-24,Mumbai,Banjara Hills,Kondapur,12.39,71,161.02,4.56,4.32,Cash,Completed
R10150,2025-04-29,Mumbai,Hitech City,Somajiguda,9.31,45,118.8,4.47,4.26,Cash,Completed
R10151,2025-02-21,Pune,Banjara Hills,Somajiguda,2.83,11,69.26,3.83,4.66,Cash,Completed
R10152,2025-02-26,Chennai,LB Nagar,Gachibowli,11.41,64,191.98,4.89,4.28,Cash,Completed
R10153,2025-04-12,Hyderabad,Somajiguda,Secunderabad,3.14,13,53.74,3.81,4.46,Card,Completed
R10154,2025-04-06,Hyderabad,Jubilee Hills,Hitech City,10.45,59,175.03,4.49,4.63,Card,Completed
R10155,2025-02-28,Bangalore,Uppal,Miyapur,3.37,18,59.0,4.85,4.75,Cash,Completed
R10156,2025-01-18,Chennai,LB Nagar,Jubilee Hills,4.35,13,71.76,3.88,3.89,UPI,Cancelled
R10157,2025-01-04,Hyderabad,Kukatpally,Jubilee Hills,12.84,55,176.51,4.02,4.8,Card,Cancelled
R10158,2025-06-07,Delhi,Banjara Hills,Jubilee Hills,11.74,42,141.96,4.4,4.5,Cash,Completed
R10159,2025-02-10,Bangalore,Somajiguda,Banjara Hills,8.14,32,153.3,4.32,3.82,Card,Completed
R10160,2025-05-07,Delhi,Mehdipatnam,Kondapur,10.58,54,218.48,4.42,3.95,Card,Completed
R10161,2025-03-03,Mumbai,Ameerpet,Begumpet,4.78,15,92.25,4.44,4.56,UPI,Completed
R10162,2025-02-26,Pune,Mehdipatnam,Madhapur,1.3,4,37.72,3.91,4.4,UPI,Completed
R10163,2025-03-13,Pune,Banjara Hills,Jubilee Hills,4.17,24,72.9,4.62,4.88,Cash,Cancelled
R10164,2025-02-27,Mumbai,Banjara Hills,Uppal,10.94,53,150.13,4.75,4.28,Card,Completed
R10165,2025-04-19,Pune,Somajiguda,Kukatpally,3.87,23,95.73,3.9,4.93,Cash,Completed
R10166,2025-04-28,Chennai,Secunderabad,Miyapur,2.0,7,52.11,4.04,4.01,Cash,Completed
R10167,2025-02-26,Mumbai,Madhapur,Uppal,11.44,36,156.87,4.38,4.25,Cash,Cancelled
R10168,2025-03-30,Pune,Uppal,Secunderabad,2.61,12,66.44,4.34,4.36,UPI,Completed
R10169,2025-01-13,Hyderabad,Kondapur,Madhapur,5.75,26,94.41,4.63,4.26,Card,Cancelled
R10170,2025-01-27,Hyderabad,Miyapur,Kukatpally,6.15,33,85.28,3.95,3.98,Card,Cancelled
R10171,2025-05-26,Chennai,Kukatpally,LB Nagar,3.62,20,83.46,4.11,4.21,UPI,Completed
R10172,2025-03-20,Bangalore,Uppal,LB Nagar,4.31,23,95.24,4.56,4.0,Card,Completed
R10173,2025-06-04,Mumbai,Banjara Hills,Mehdipatnam,4.93,26,96.4,4.83,3.84,UPI,Completed
R10174,2025-01-18,Chennai,Ameerpet,Mehdipatnam,7.01,41,98.01,4.39,4.33,Cash,Cancelled
R10175,2025-02-05,Bangalore,Miyapur,Somajiguda,5.7,18,100.34,3.83,4.05,Card,Completed
R10176,2025-01-23,Bangalore,Uppal,Begumpet,10.31,31,173.11,4.27,4.17,UPI,Completed
R10177,2025-04-23,Bangalore,Kukatpally,LB Nagar,7.23,26,121.25,4.12,4.58,Cash,Completed
R10178,2025-01-12,Delhi,Madhapur,Secunderabad,6.53,32,114.72,4.8,4.0,Card,Completed
R10179,2025-01-04,Delhi,LB Nagar,Secunderabad,4.84,23,104.85,4.04,3.82,UPI,Completed
R10180,2025-05-09,Pune,Gachibowli,Secunderabad,4.56,22,83.36,4.04,4.11,UPI,Completed
R10181,2025-04-12,Delhi,Begumpet,LB Nagar,10.16,45,171.68,4.48,4.02,UPI,Cancelled
R10182,2025-05-20,Hyderabad,Kondapur,Jubilee Hills,13.84,57,244.64,4.82,4.46,UPI,Completed
R10183,2025-02-14,Bangalore,Secunderabad,Miyapur,9.24,48,142.26,4.79,4.08,Cash,Completed
R10184,2025-01-20,Chennai,Madhapur,Gachibowli,9.95,31,118.6,4.31,4.22,UPI,Cancelled
R10185,2025-04-05,Hyderabad,Begumpet,Ameerpet,12.66,71,170.72,4.44,4.87,UPI,Cancelled
R10186,2025-04-19,Bangalore,Secunderabad,Miyapur,11.49,40,246.58,4.69,4.85,Cash,Completed
R10187,2025-02-28,Hyderabad,Somajiguda,Madhapur,9.02,46,174.91,4.84,4.45,UPI,Completed
R10188,2025-01-14,Mumbai,Madhapur,Kukatpally,13.88,48,201.42,4.74,4.0,UPI,Completed
R10189,2025-03-17,Hyderabad,Ameerpet,Jubilee Hills,9.08,37,124.06,3.91,4.45,Card,Completed
R10190,2025-02-02,Chennai,Miyapur,Hitech City,6.03,25,106.43,3.9,4.59,Card,Completed
R10191,2025-06-24,Mumbai,Somajiguda,Kondapur,11.68,65,154.58,4.32,4.63,UPI,Completed
R10192,2025-03-16,Mumbai,Miyapur,Secunderabad,12.37,52,249.7,3.94,3.94,Card,Completed
R10193,2025-06-07,Chennai,Banjara Hills,Gachibowli,14.9,62,211.79,4.54,4.89,UPI,Completed
R10194,2025-02-05,Chennai,Ameerpet,Banjara Hills,9.99,51,149.18,4.52,4.67,UPI,Completed
R10195,2025-06-18,Hyderabad,Hitech City,Gachibowli,3.65,16,82.93,4.26,3.89,UPI,Completed
R10196,2025-06-07,Mumbai,Banjara Hills,Jubilee Hills,14.35,55,287.17,3.83,4.97,UPI,Cancelled
R10197,2025-02-12,Delhi,Uppal,Kondapur,1.75,9,52.03,4.91,4.24,Card,Completed
R10198,2025-04-20,Mumbai,Madhapur,Hitech City,3.18,13,66.59,3.89,4.64,Card,Completed
R10199,2025-03-07,Hyderabad,Madhapur,Hitech City,5.48,26,95.61,4.09,3.88,UPI,Cancelled
R10200,2025-04-12,Pune,Somajiguda,Begumpet,7.94,30,154.11,4.02,4.44,UPI,Cancelled
R10201,2025-05-26,Hyderabad,Kondapur,Hitech City,6.17,29,104.06,4.92,4.33,UPI,Completed
R10202,2025-03-11,Delhi,Miyapur,Kukatpally,13.27,76,196.76,3.96,4.25,Cash,Completed
R10203,2025-03-31,Chennai,Kukatpally,Secunderabad,14.47,57,237.63,4.07,3.89,Cash,Completed
R10204,2025-04-30,Mumbai,Kukatpally,Miyapur,2.42,13,72.98,4.89,4.37,Card,Cancelled
R10205,2025-01-13,Hyderabad,Jubilee Hills,Secunderabad,4.35,16,75.65,4.03,3.88,Card,Completed
R10206,2025-06-13,Delhi,Banjara Hills,Miyapur,1.74,8,59.67,4.9,5.0,Cash,Completed
R10207,2025-05-02,Mumbai,Begumpet,Madhapur,2.1,11,59.0,4.79,3.99,Card,Completed
R10208,2025-01-22,Chennai,Mehdipatnam,Begumpet,4.13,18,85.67,4.12,4.73,Card,Completed
R10209,2025-03-28,Mumbai,Banjara Hills,Gachibowli,9.26,33,192.57,3.91,4.96,Card,Completed
R10210,2025-02-22,Pune,Miyapur,Madhapur,8.41,30,174.51,4.96,3.98,Cash,Completed
R10211,2025-04-18,Hyderabad,Begumpet,Uppal,11.74,54,228.84,4.42,4.47,Card,Completed
R10212,2025-03-09,Delhi,Miyapur,Gachibowli,14.72,72,306.68,4.19,3.87,Cash,Completed
R10213,2025-01-02,Delhi,Hitech City,Miyapur,3.24,16,89.14,4.19,4.23,UPI,Cancelled
R10214,2025-05-07,Bangalore,Gachibowli,Uppal,7.13,26,153.25,3.88,4.37,Cash,Completed
R10215,2025-03-01,Delhi,Secunderabad,LB Nagar,6.01,21,104.21,4.05,3.9,UPI,Completed
R10216,2025-06-12,Bangalore,Miyapur,Jubilee Hills,9.95,49,117.44,4.95,4.58,Cash,Completed
R10217,2025-06-04,Bangalore,Ameerpet,Somajiguda,8.08,43,180.93,4.08,4.34,UPI,Completed
R10218,2025-02-27,Mumbai,Begumpet,Jubilee Hills,8.66,27,180.31,4.0,3.88,Cash,Cancelled
R10219,2025-02-12,Hyderabad,Madhapur,Kukatpally,1.3,5,45.37,4.03,3.97,Cash,Completed
R10220,2025-05-05,Mumbai,Secunderabad,Kukatpally,10.52,41,147.76,4.19,4.73,Cash,Completed
R10221,2025-05-23,Delhi,Gachibowli,Miyapur,11.43,49,147.83,4.44,4.22,Cash,Completed
R10222,2025-03-05,Bangalore,Mehdipatnam,Begumpet,9.23,40,173.55,4.96,4.33,Cash,Completed
R10223,2025-03-20,Pune,Miyapur,Hitech City,14.33,44,249.88,4.5,4.43,Card,Completed
R10224,2025-03-09,Bangalore,Begumpet,Madhapur,9.97,45,198.02,4.25,4.87,UPI,Completed
R10225,2025-04-22,Mumbai,Jubilee Hills,Miyapur,3.5,16,93.58,4.04,4.4,Card,Completed
R10226,2025-02-06,Delhi,Begumpet,Kukatpally,6.75,28,122.83,4.37,4.77,Cash,Completed
R10227,2025-06-17,Bangalore,Kondapur,Miyapur,14.29,58,207.04,4.89,3.89,Cash,Completed
R10228,2025-02-13,Mumbai,Hitech City,Kondapur,14.78,44,308.42,4.82,4.94,Cash,Completed
R10229,2025-02-15,Bangalore,Kondapur,Gachibowli,10.09,43,187.46,4.44,4.04,Cash,Completed
R10230,2025-01-03,Chennai,Ameerpet,Jubilee Hills,5.33,20,119.64,4.12,4.5,Card,Completed
R10231,2025-02-18,Bangalore,Kondapur,Madhapur,12.32,53,145.59,4.28,4.42,Cash,Cancelled
R10232,2025-03-13,Hyderabad,Uppal,Begumpet,4.91,27,112.73,3.91,4.45,Card,Cancelled
R10233,2025-02-22,Chennai,Kondapur,LB Nagar,9.69,29,165.33,4.58,4.25,Card,Cancelled
R10234,2025-02-25,Pune,Secunderabad,Jubilee Hills,7.36,43,141.28,4.01,4.14,UPI,Completed
R10235,2025-01-15,Pune,Kukatpally,Ameerpet,14.1,51,237.42,4.66,3.97,Card,Completed
R10236,2025-06-27,Hyderabad,Gachibowli,Somajiguda,12.85,70,166.02,4.72,4.65,UPI,Cancelled
R10237,2025-04-02,Bangalore,Somajiguda,Hitech City,1.63,5,56.52,4.36,3.8,Card,Completed
R10238,2025-03-06,Bangalore,Jubilee Hills,Madhapur,5.08,24,116.61,4.35,4.86,UPI,Completed
R10239,2025-04-09,Hyderabad,Begumpet,Kukatpally,11.57,36,183.56,4.77,4.93,Card,Completed
R10240,2025-02-03,Mumbai,Jubilee Hills,Kondapur,9.91,40,219.22,4.76,3.85,Cash,Completed
R10241,2025-06-26,Bangalore,Kukatpally,Jubilee Hills,13.02,58,179.28,4.66,4.01,Card,Completed
R10242,2025-02-01,Bangalore,Madhapur,Jubilee Hills,5.03,24,86.54,4.35,4.74,UPI,Completed
R10243,2025-03-25,Bangalore,Ameerpet,Somajiguda,9.63,29,208.56,4.62,4.09,Card,Completed
R10244,2025-03-21,Pune,Madhapur,Secunderabad,5.25,21,128.73,4.1,4.09,Card,Cancelled
